name,category,price,billed_per,notes
Toy Town,Inflatables,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 956685. https://innovativeinflatables.com/all-categories/combination-pieces/toy-town/
Trilenium Combo,Inflatables,475,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 956655. https://innovativeinflatables.com/all-categories/combination-pieces/trilenium-combo/
Trolls Mod-Combo,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 956737. https://innovativeinflatables.com/all-categories/combination-pieces/trolls-mod-combo/
Undersea Combo,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 956427. https://innovativeinflatables.com/all-categories/combination-pieces/undersea-combo/
Unicorn,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 982547. https://innovativeinflatables.com/all-categories/combination-pieces/unicorn/
Wizard Castle Combo,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 956429. https://innovativeinflatables.com/all-categories/combination-pieces/wizard-castle-combo/
World of Disney Combination,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Combination Pieces. Supplier item ID 1506937. https://innovativeinflatables.com/all-categories/combination-pieces/world-of-disney-combination/
Bouncy Boxing with Giant Gloves,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956483. https://innovativeinflatables.com/all-categories/interactive-inflatables/bouncy-boxing-with-giant-gloves/
Cash Cube,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956489. https://innovativeinflatables.com/all-categories/interactive-inflatables/cash-cube/
Climb the Ladder,Inflatables,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1725709. https://innovativeinflatables.com/all-categories/interactive-inflatables/climb-the-ladder/
Double Snow Throw,Inflatables,50,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 3157283. https://innovativeinflatables.com/all-categories/interactive-inflatables/double-snow-throw/
Extreme Octagon,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1360855. https://innovativeinflatables.com/all-categories/interactive-inflatables/extreme-octagon/
First in Goal,Inflatables,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956735. https://innovativeinflatables.com/all-categories/interactive-inflatables/first-in-goal/
Gaga Pit,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956783. https://innovativeinflatables.com/all-categories/interactive-inflatables/gaga-pit/
Human Billiards,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1026005. https://innovativeinflatables.com/all-categories/interactive-inflatables/human-billiards/
Human Foosball,Inflatables,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956595. https://innovativeinflatables.com/all-categories/interactive-inflatables/human-foosball/
Hungry Hippo 4-Player,Inflatables,700,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1763495. https://innovativeinflatables.com/all-categories/interactive-inflatables/hungry-hippo-4-player/
Leaps and Bounds,Inflatables,700,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1314771. https://innovativeinflatables.com/all-categories/interactive-inflatables/leaps-and-bounds/
Rock'm Sock'm,Inflatables,625,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956495. https://innovativeinflatables.com/all-categories/interactive-inflatables/rockm-sockm/
Single Lane Axe Throwing,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1733543. https://innovativeinflatables.com/all-categories/interactive-inflatables/single-lane-axe-throwing/
Slamdunker,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956497. https://innovativeinflatables.com/all-categories/interactive-inflatables/slamdunker/
